indicatorId,geoUnit,year,value,qualifier,magnitude
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2014,10834185,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2015,12558873,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2016,12142523,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2017,10139049,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2018,13919181,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2019,15000624,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2020,15414048,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2021,7720616,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2022,7823410,,
ODAFLOW.VOLUMESCHOLARSHIP,MMR,2023,13744472,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2006,161335,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2007,172645,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2008,182676,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2009,628781,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2010,494288,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2011,496015,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2012,643502,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2013,782734,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2014,556595,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2015,797375,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2016,377753,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2017,970622,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2018,1267112,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2019,2905275,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2020,1796874,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2021,2295020,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2022,2041754,,
ODAFLOW.VOLUMESCHOLARSHIP,MNE,2023,1772764,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2006,3715341,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2007,4852058,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2008,4928666,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2009,10962268,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2010,11266348,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2011,17487978,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2012,12864279,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2013,13640011,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2014,14861662,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2015,11464228,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2016,8507213,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2017,6916349,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2018,11416652,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2019,16108255,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2020,15409507,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2021,12364446,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2022,15574784,,
ODAFLOW.VOLUMESCHOLARSHIP,MNG,2023,13060323,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2006,2437934,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2007,3192259,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2008,6433517,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2009,4943173,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2010,3326411,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2011,4609786,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2012,3292965,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2013,3884022,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2014,2374741,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2015,2862924,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2016,2908211,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2017,12513594,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2018,3515252,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2019,4003808,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2020,3229606,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2021,2156611,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2022,2258494,,
ODAFLOW.VOLUMESCHOLARSHIP,MOZ,2023,3571236,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2006,793892,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2007,1000707,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2008,1937170,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2009,1899976,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2010,1134987,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2011,248815,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2012,1092432,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2013,1573351,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2014,1437802,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2015,1368119,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2016,1170891,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2017,1522311,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2018,1783685,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2019,3985900,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2020,2573223,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2021,2174618,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2022,2103602,,
ODAFLOW.VOLUMESCHOLARSHIP,MRT,2023,3316311,,
ODAFLOW.VOLUMESCHOLARSHIP,MSR,2012,19640,,
